16 512 73426 73850 77212 77684 72890 73389 5336 5843 95222 95318 103165 103254 85079 85177 13491 13576 111831 111915 116917 117373 114915 115514 
17 544 73904 74395 77747 78216 73447 73912 5890 6381 95364 95464 103302 103391 85231 85321 13623 13709 111961 112045 117420 117882 115561 116005 
18 576 74447 74976 78267 78586 73964 74397 6427 6859 95515 95606 103439 103536 85377 85470 13755 13840 112091 112184 117928 118379 116051 116329 
19 608 75025 75480 78643 79103 74445 74972 6911 7005 95652 95747 103582 103666 85528 85621 13886 13971 112230 112315 118426 118883 116377 116462 
20 640 75564 76026 79194 79599 75068 75498 7078 7162 95829 95919 103739 103824 85697 85800 14040 14126 112384 112468 118953 119400 116531 116616 
21 672 76078 76560 79653 80142 75545 76028 7215 7301 95965 96050 103870 103970 85850 85945 14172 14256 112514 112598 119447 119910 116663 116747 
22 704 76606 76993 80188 80666 76074 76353 7351 7437 96096 96197 104020 104123 86002 86102 14302 14395 112646 112731 119957 120443 116793 116878 
23 736 77047 77521 80717 81173 76416 76951 7483 7946 96247 96346 104175 104269 86151 86612 14441 14525 112777 113230 120493 120957 116924 117008 
24 768 77599 78051 81249 81695 77049 77517 8039 8430 96426 96512 104342 104426 86716 87068 14594 14678 113299 113570 121028 121483 117077 117164 
25 800 78101 78569 81742 82249 77563 78052 8476 8936 96561 96645 104472 104564 87114 87556 14724 14808 113616 114064 121531 121998 117211 117295 
26 832 78623 79052 82295 82582 78113 78578 8982 9479 96691 96775 104610 104705 87602 88005 14854 14942 114111 114473 122044 122324 117341 117425 
27 864 79099 79576 82630 83110 78627 79102 9525 9984 96828 96914 104751 104841 88052 88508 14988 15074 114520 114979 122371 122842 117471 117557 
28 896 79659 80139 83208 83664 79190 79595 10059 10475 96997 97097 104922 105006 88582 88925 15143 15227 115050 115518 122911 123371 117626 117711 
29 928 80185 80665 83712 84178 79643 80133 10521 10987 97151 97245 105052 105136 88982 89624 15273 15359 115567 116029 123418 123884 117757 117841 
30 960 80718 81182 84224 84642 80182 80661 11033 11318 97291 97376 105182 105270 89672 90036 15405 15492 116076 116347 123930 124219 117887 117972 
31 992 81228 81694 84688 84793 80719 81184 11364 11448 97422 97901 105318 105415 90086 90204 15538 15623 116393 116846 124267 124796 118019 118493 
32 1024 81782 82319 84872 84975 81279 81705 11517 11601 97974 98320 105496 105598 90273 90360 15692 15776 116918 117374 124869 125328 118562 119009 
33 1056 82365 82839 85023 85121 81755 82317 11647 11732 98368 98844 105644 105728 90416 90510 15822 15907 117422 117867 125375 125822 119056 119536 
34 1088 82885 83169 85168 85274 82368 82830 11778 11862 98890 99336 105774 105858 90571 90667 15953 16039 117913 118185 125869 126164 119583 119912 
35 1120 83223 83692 85341 85460 82876 82964 11908 11993 99383 99857 105904 105990 90719 90813 16085 16169 118231 118675 126214 126662 119958 120439 
36 1152 83809 84192 85554 85657 83036 83143 12062 12146 99930 100389 106071 106172 90887 90978 16238 16323 118744 119192 126731 127251 120510 120959 
