43 1376 17990 18398 17890 18294 17800 18195 17892 18295 
44 1408 18471 18882 18368 18774 18268 18660 18369 18775 
45 1440 18926 19336 18818 19218 18704 19095 18820 19219 
46 1472 19380 19787 19262 19664 19139 19534 19264 19665 
47 1504 19831 20241 19708 20111 19578 19974 19710 20112 
48 1536 20314 20724 20185 20589 20047 20445 20186 20590 
49 1568 20768 21175 20633 21037 20489 20888 20635 21038 
50 1600 21219 21628 21081 21485 20932 21331 21083 21486 
51 1632 21672 22082 21529 21932 21375 21773 21531 21933 
52 1664 22155 22562 22006 22410 21846 22245 22007 22411 
53 1696 22606 23015 22454 22858 22289 22687 22456 22859 
54 1728 23059 23468 22902 23306 22731 23128 22904 23307 
55 1760 23512 23921 23350 23750 23172 23565 23352 23751 
56 1792 23994 24403 23824 24227 23638 24033 23825 24228 
57 1824 24447 24856 24271 24675 24077 24469 24273 24676 
58 1856 24900 25308 24719 25121 24513 24907 24721 25122 
59 1888 25352 25760 25165 25565 24951 25345 25167 25566 
60 1920 25833 26240 25639 26044 25418 25811 25640 26045 
61 1952 26284 26694 26088 26491 25855 26247 26090 26492 
62 1984 26738 27141 26535 26936 26291 26695 26537 26937 
63 2016 27185 27580 26980 27378 26740 27146 26982 27379 
64 2048 27653 28050 27452 27851 27219 27622 27453 27852 
65 2080 28094 28491 27895 28291 27666 28072 27897 28292 
66 2112 28535 28930 28335 28731 28116 28521 28337 28732 
67 2144 28974 29372 28775 29170 28565 28968 28777 29171 
68 2176 29445 29841 29244 29639 29041 29448 29245 29640 
69 2208 29885 30280 29683 30079 29492 29898 29685 30080 
70 2240 30324 30721 30123 30518 29942 30347 30125 30519 
71 2272 30765 31158 30562 30957 30391 30798 30564 30958 
72 2304 31231 31626 31031 31428 30871 31276 31032 31429 
73 2336 31670 32063 31472 31867 31320 31726 31474 31868 
74 2368 32107 32503 31911 32306 31770 32174 31913 32307 
75 2400 32547 32939 32350 32745 32218 32623 32352 32746 
76 2432 33012 33408 32819 33215 32696 33099 32820 33216 
77 2464 33452 33848 33259 33651 33143 33545 33261 33652 
78 2496 33892 34284 33695 34090 33589 33995 33697 34091 
79 2528 34328 34726 34134 34531 34039 34446 34136 34532 
