11 352 38540 39486 33038 33761 35418 36164 8239 9079 72827 73593 73941 74624 72174 72846 34651 35380 140354 141005 141829 142546 120637 121289 85845 86732 194602 195268 203181 203779 184212 184917 150841 151522 265321 265842 261411 262081 265808 266482 213089 213773 350099 350787 349916 350789 351537 352212 
12 384 39593 40266 33857 34575 36249 36934 9157 9859 73689 74566 74721 75526 72925 73615 35479 36171 141093 141787 142632 143296 121362 122010 86842 87531 195360 196031 203858 204337 184994 185914 151599 152280 265915 266491 262166 262840 266560 267217 213846 214532 350874 351537 350883 351556 352288 352955 
13 416 40318 41115 34622 35348 36996 37749 9908 10647 74627 75505 75578 76378 73666 74343 36215 36926 141833 142503 143350 144115 122054 122706 87580 88510 196095 196920 204381 205158 185975 186676 152328 153009 266546 267212 262886 263571 267265 267933 214576 215265 351583 352429 351604 352432 353000 353671 
14 448 41166 41863 35399 36063 37798 38482 10703 11256 75550 76247 76424 77402 74393 75050 36973 37733 142548 143242 144167 144875 122762 123434 88554 89182 196964 197622 205207 205897 186728 187556 153053 153738 267257 267927 263615 264279 267983 268610 215309 215883 352475 353213 352485 353218 353716 354387 
15 480 41913 42598 36112 36834 38530 39484 11308 12017 76294 76959 77452 78250 75098 75789 37783 38512 143294 144102 144929 145739 123481 124240 89226 89933 197667 198329 205950 206715 187625 188370 153787 154579 267973 268603 264324 264991 268657 269335 215927 216612 353257 353895 353264 353955 354433 355108 
16 512 42671 43385 36945 37730 39582 40269 12098 12835 77052 77730 78354 79118 75869 76600 38599 39488 144206 144879 145841 146741 124328 125249 90018 90646 198403 199163 206803 207447 188455 189124 154653 155372 268699 269343 265073 265749 269429 270091 216685 217101 353969 354613 354028 354706 355200 355860 
17 544 43430 44135 37774 38474 40313 41113 12885 13560 77778 78444 79165 80057 76645 77445 39532 40244 144947 145742 146785 147443 125307 126105 90692 91337 199208 199858 207501 208254 189168 189866 155428 156192 269395 270094 265794 266384 270135 271042 217152 217832 354660 355296 354750 355612 355909 356579 
18 576 44192 44926 38527 38980 41157 41804 13625 13936 78500 79170 80106 80812 77491 78271 40288 41115 145799 146495 147493 148218 126149 126855 91398 92060 199903 200395 208306 208980 189914 190622 156237 156922 270138 271045 266431 267112 271090 271772 217879 218434 355344 356016 355656 356339 356641 357336 
19 608 44987 45694 39042 39741 41848 42556 13996 14671 79218 80076 80860 81544 78326 79103 41176 41865 146547 147265 148264 148884 126909 127762 92108 92770 200451 201250 209025 209718 190667 191358 156966 157642 271091 271785 267173 267834 271818 272498 218482 219169 356076 356744 356390 357091 357384 358077 
20 640 45811 46516 39843 40428 42645 43343 14781 15402 80175 80940 81624 82337 79205 80078 41950 42692 147363 148074 148995 149790 127864 128603 92848 93483 201330 202007 209821 210607 191443 192125 157721 158408 271880 272510 267908 268566 272574 273253 219246 219745 356820 357464 357184 357872 358175 358927 
21 672 46564 47451 40477 41196 43396 44101 15448 16142 81003 81692 82381 83058 80129 80911 42751 43438 148127 148853 149841 150510 128665 129562 93534 94205 202063 202606 210660 211371 192180 192965 158452 159197 272564 273088 268623 269276 273300 273878 219793 220474 357509 358162 357916 358875 359015 359709 
22 704 47509 48244 41248 41968 44146 44902 16194 16700 81741 82486 83110 84021 80970 81657 43487 44169 148899 149777 150564 151251 129607 130432 94252 94931 202652 203366 211422 212106 193027 193823 159247 160072 273142 273733 269324 269969 273922 274535 220520 220790 358237 358946 358921 359696 359774 360511 
23 736 48294 49184 42027 42722 44961 45661 16754 17419 82531 83217 84072 84770 81711 82468 44213 44905 149822 150491 151305 152075 130477 131195 94977 95653 203410 204044 212165 212872 193870 194565 160116 160859 273777 274293 270018 270551 274585 275158 220840 221534 359030 359714 359795 360549 360558 361387 
24 768 49278 50162 42823 43515 45746 46457 17512 18226 83300 84052 84881 85743 82580 83351 44978 45650 150593 151254 152176 152841 131269 132071 95731 96652 204135 204797 212960 213614 194652 195600 160933 161627 274376 274999 270646 271173 275231 275741 221621 222240 359817 360476 360625 361398 361536 362202 
25 800 50222 50921 43565 44438 46510 47205 18275 18974 84108 84771 85789 86722 83399 84130 45694 46417 151298 152075 152894 153578 132126 132882 96699 97339 204853 205503 213666 214355 195645 196305 161673 162366 275043 275735 271225 271848 275788 276466 222291 223002 360530 361362 361474 362198 362246 362987 
26 832 50975 51682 44492 45183 47266 48126 19034 19719 84832 85501 86768 87479 84194 84881 46471 47204 152129 152822 153627 154567 132938 133622 97386 98094 205564 206315 214406 215146 196349 197000 162415 163172 275781 276463 271909 272585 276512 277189 223046 223551 361496 362208 362244 362988 363032 363762 
27 864 51727 52552 45234 45925 48171 48887 19779 20492 85549 86305 87532 88215 84953 85810 47249 48128 152872 153549 154613 155278 133676 134372 98138 98779 206361 206992 215193 215891 197054 197742 163216 163898 276508 277186 272637 273306 277237 277918 223595 224293 362280 362996 363060 363769 363808 364367 
28 896 52649 53506 46015 46699 48983 49683 20597 21140 86379 87020 88293 88969 85923 86757 48209 48884 153634 154566 155351 156022 134476 135251 98861 99509 207067 207861 215976 216891 197821 198489 163974 164654 277263 277920 273389 274237 278010 278628 224366 224885 363077 363770 363853 364524 364449 365112 
29 928 53557 54284 46750 47473 49738 50424 21184 21875 87069 87754 89013 89681 86808 87528 48928 49615 154611 155359 156067 156744 135305 136120 99564 100475 207905 208576 216954 217657 198533 199266 164698 165637 277968 278626 274287 275013 278676 279344 224930 225618 363821 364468 364568 365280 365157 365826 
30 960 54333 55044 47525 48239 50476 51177 21923 22403 87812 88543 89725 90379 87581 88512 49659 50332 155405 156191 156805 157512 136164 136852 100524 101172 208620 209271 217710 218423 199327 200122 165682 166367 278672 279343 275062 275751 279391 279921 225663 226284 364512 365164 365324 365993 365870 366717 
31 992 55093 55785 48292 49179 51231 51911 22448 23156 88595 89275 90424 91052 88563 89258 50376 51024 156244 156953 157556 158255 136896 137580 101223 101886 209318 209957 218473 219203 200189 201132 166411 167084 279389 279924 275805 276546 279965 280648 226336 227026 365208 365881 366037 366726 366762 367437 
32 1024 55880 56563 49285 50165 51994 52865 23245 23908 89403 90212 91151 92028 89360 90198 51115 51778 157049 157677 158331 159008 137662 138352 101962 102637 210031 210643 219301 219977 201210 201884 167184 167866 280005 280655 276624 277204 280735 281384 227104 227676 365955 366727 366814 367479 367513 368174 
33 1056 56610 57304 50222 50915 52924 53599 23959 24673 90257 90965 92074 92761 90244 90948 51831 52598 157726 158414 159052 159728 138398 139109 102692 103715 210687 211363 220021 220737 201928 202604 167910 168667 280710 281388 277251 277994 281430 282096 227726 228528 366781 367453 367526 368213 368219 368891 
34 1088 57357 58287 50973 51672 53648 54313 24719 25187 91023 91843 92814 93486 91002 91710 52647 53495 158461 159200 159774 160429 139167 139856 103759 104425 211407 211981 220785 221477 202652 203374 168712 169429 281445 282144 278041 278885 282142 282814 228572 228852 367498 368171 368257 368927 368937 369446 
35 1120 58339 59246 51721 52562 54368 55280 25234 25950 91904 92592 93538 94265 91755 92467 53539 54187 159249 160089 160474 161130 139924 140630 104469 105157 212027 212779 221527 222229 203418 204100 169474 170153 282197 282869 278932 279655 282861 283538 228896 229587 368215 368889 368971 369801 369491 370005 
36 1152 59342 60065 52670 53509 55395 56076 26055 26751 92675 93418 94387 95291 92562 93395 54269 54936 160180 160875 161208 161876 140718 141480 105230 105897 212856 213546 222347 223023 204190 204877 170240 170951 282950 283595 279732 280561 283622 284304 229663 230467 368966 369800 369887 370595 370078 370597 
37 1184 60125 60999 53566 54292 56140 56814 26799 27555 93482 94191 95339 96026 93453 94163 54980 55630 160920 161624 161923 162706 141531 142236 105941 106615 213593 214247 223081 223794 204932 205614 171011 171686 283642 284385 280613 281140 284349 285087 230517 231244 369851 370588 370643 371316 370651 371319 
38 1216 61048 61768 54345 55271 56869 57526 27605 28252 94238 94954 96074 96921 94213 94917 55680 56353 161670 162358 162750 163511 142280 143086 106659 107333 214292 214999 223839 224564 205660 206526 171740 172425 284433 285090 281184 281628 285137 285981 231301 231968 370634 371313 371361 372046 371369 372061 
39 1248 61820 62542 55331 56075 57588 58397 28299 29004 95006 95700 96967 97754 94961 95651 56401 57038 162403 163172 163565 164449 143133 144052 107387 108051 215045 215716 224618 225519 206570 207224 172472 173117 285137 285987 281672 282382 286033 286747 232013 232693 371357 372045 372091 372752 372115 372802 
40 1280 62639 63413 56186 57001 58503 59270 29091 29782 95778 96654 97851 98519 95743 96653 57135 57990 163259 163946 164573 165422 144170 144867 108145 109068 215798 216466 225622 226285 207310 207985 173207 174043 286126 286774 282485 283275 286829 287507 232777 233406 372120 372799 372828 373492 372902 373538 
41 1312 63465 64134 57066 57976 59322 59999 29826 30524 96701 97398 98571 99214 96699 97383 58034 58831 163991 164658 165479 166213 144912 145729 109112 109774 216515 217096 226346 227132 208035 208728 174088 174729 286818 287472 283328 284006 287555 288237 233456 234134 372845 373538 373537 374199 373583 374204 
42 1344 64182 64860 58021 58709 60050 60919 30587 31050 97449 98333 99268 100173 97437 98329 58875 59537 164713 165646 166258 167058 145787 146475 109833 110580 217153 217842 227213 228071 208773 209455 174774 175416 287516 288176 284053 284585 288281 288963 234186 234706 373588 374281 374244 375158 374251 375161 
