10 320 16106 16835 15708 16269 16881 17455 7469 8107 109752 110444 110740 111408 114540 115256 91385 92130 220478 221245 227670 228367 214749 215563 204890 205519 398209 398888 402849 403555 401039 401779 364223 364907 683704 684223 686180 686706 685489 686136 621437 622041 1003126 1003409 1004397 1004653 1009631 1009891 916224 916593 1256886 1257391 1258456 1258746 1245835 1246143 1112658 1113189 1407105 1407401 1404760 1405023 1400605 1401282 
11 352 16889 17665 16323 17090 17513 18390 8155 8858 110497 111354 111453 112177 115314 115981 92182 92737 221304 222079 228419 229107 215615 216393 205574 206294 398945 399807 403618 404376 401836 402589 364957 365704 684273 684815 686754 687268 686190 686900 622098 622797 1003454 1004194 1004706 1005365 1009943 1010470 916637 917339 1257437 1258129 1258791 1259487 1246197 1246871 1113234 1113885 1407447 1408132 1405067 1405763 1401327 1402015 
12 384 17789 18426 17180 17897 18486 19230 8967 9706 111453 112177 112330 113041 116103 116855 92848 93566 222182 222948 229196 229786 216484 217187 206388 207103 399980 400656 404531 405283 402687 403100 365788 366360 684898 685437 687351 688031 686980 687481 622872 623315 1004300 1004581 1005450 1006004 1010555 1010830 917413 917856 1258220 1258498 1259579 1259828 1246948 1247473 1113958 1114306 1408207 1409030 1405837 1406311 1402088 1402761 
13 416 18494 19228 17962 18678 19280 20019 9764 10471 112244 112928 113088 113801 116913 117813 93638 94266 223042 223777 229843 230763 217255 217842 207155 207693 400709 401356 405333 406267 403155 403907 366409 367086 685489 686130 688081 688599 687529 688222 623362 624063 1004633 1005354 1006063 1006772 1010881 1011483 917901 918612 1258549 1259271 1259879 1260560 1247580 1248146 1114350 1115011 1409077 1409775 1406357 1407048 1402806 1403491 
14 448 19288 20020 18733 19264 20076 20510 10522 11075 112981 113708 113854 114565 117866 118555 94316 95026 223824 224537 230816 231378 217913 218843 207744 208551 401449 402085 406378 407061 403963 404430 367137 367702 686184 686709 688648 689105 688273 688961 624116 624622 1005405 1005827 1006826 1007353 1011534 1011787 918657 918994 1259315 1259577 1260611 1260943 1248190 1248560 1115055 1115393 1409820 1410118 1407092 1407398 1403535 1403984 
15 480 20084 20940 19315 20071 20570 21331 11130 11780 113767 114486 114614 115408 118611 119283 95084 95799 224602 225332 231423 232158 218899 219633 208605 209368 402161 402891 407127 407687 404537 405340 367754 368443 686768 687465 689158 689816 689016 689713 624666 625354 1005881 1006600 1007399 1008097 1011834 1012359 919053 919751 1259629 1260318 1260988 1261674 1248615 1249277 1115437 1116115 1410164 1410845 1407443 1408130 1404029 1404709 
16 512 21043 21776 20169 20957 21427 22121 11863 12515 114590 115373 115527 116410 119410 120042 95893 96692 225419 226066 232283 232814 219714 220426 209492 210209 402997 403578 407837 408532 405429 406256 368542 369063 687551 688232 689906 690399 689791 690321 625451 626036 1006689 1006964 1008186 1008873 1012439 1012756 919824 920088 1260409 1260682 1261765 1262450 1249376 1249646 1116190 1116855 1410919 1411745 1408204 1409029 1404783 1405461 
17 544 21829 22547 21008 21774 22190 22905 12578 13275 115427 116134 116460 117231 120096 120660 96768 97805 226114 226701 232875 233540 220496 221243 210256 210860 403664 404401 408584 409112 406314 407035 369116 369795 688284 689053 690449 691085 690377 691073 626083 626786 1007012 1007743 1008917 1009440 1012809 1013404 920132 921052 1260732 1261419 1262496 1263009 1249701 1250409 1116900 1117577 1411792 1412488 1409075 1409774 1405506 1406308 
18 576 22614 23369 21823 22544 22957 23423 13334 14051 116180 116877 117282 117963 120709 121368 97865 98555 226752 227377 233599 234132 221296 222072 210910 211646 404501 405088 409164 409814 407107 407664 369844 370454 689107 689822 691142 691769 691119 691678 626838 627647 1007787 1008116 1009485 1009747 1013448 1013713 921098 921450 1261463 1261715 1263053 1263289 1250474 1250756 1117621 1118002 1412533 1412837 1409818 1410116 1406353 1406609 
19 608 23422 24185 22608 23365 23474 24241 14101 14835 116931 117819 118016 118805 121429 122133 98606 99399 227438 228010 234185 234863 222127 222940 211709 212364 405152 405883 409879 410626 407775 408537 370504 371202 689867 690393 691813 692454 691739 692429 627699 628397 1008168 1008866 1009802 1010366 1013776 1014305 921501 922207 1261759 1262448 1263336 1263859 1250806 1251506 1118046 1118713 1412883 1413570 1410162 1410844 1406653 1407334 
20 640 24295 25042 23465 24197 24351 25041 14957 15656 117929 118557 118908 119608 122246 122992 99490 100278 228120 228773 234953 235616 223041 223758 212485 213142 406006 406693 410707 411380 408660 409331 371330 371990 690482 691090 692544 693050 692521 693049 628470 628866 1008954 1009582 1010448 1010725 1014393 1015062 922294 922888 1262538 1263010 1263937 1264453 1251604 1251863 1118786 1119453 1413644 1414455 1410918 1411744 1407408 1407761 
